#separator:tab
#html:true
Tipi di requisiti non funzionali	Prodotto, organizzativi (sviluppo e gestionali), esterni (giuridici e compatibilità)
Tipi di requisiti di prodotto	Usabilità, mantenibilità, portabilità, efficienza, affidabilità (reliability, availability, safety, security), recoverability
Fasi del processo di specifica e cosa accade in ognuno di essi	<ol><li>Studio di fattibilità: valutazione della possibilità di sviluppare il sistema e dei suoi vantaggi per il committente</li><li>Deduzione dei requisiti: raccolta informazioni da cui dedurre quali sono i requisiti</li><li>Analisi dei requisiti: organizzazione, negoziazione e modellazione dei requisiti</li><li>Validazione dei requisiti: verifica del rispetto di alcune proprietà da parte del documento dei requisiti</li></ol>
Gradi di dettaglio dei requisiti	<ul><li>Requisito utente: descritto ad alto livello, risultato della deduzione dei requisiti, espresso in linguaggio naturale, letto da persone senza approfondita conoscenza tecnica</li></ul><ul><li>Requisito di sistema: descritto dettagliatamente, risultato dell'analisi dei requisiti, letto da persone del campo, espresso in linguaggio formale</li></ul>
Quali documenti sono prodotti da ogni fase del processo di specifica	<ol><li>Studio di fattibilità: rapporto di fattibilità</li><li>Deduzione dei requisiti: requisiti utente</li><li>Analisi dei requisiti: requisiti di sistema</li><li>Validazione dei requisiti: documento dei requisiti</li></ol>
Modi in cui è possibile dedurre i requisiti	<ul><li>Studio del dominio applicativo: studio dell'insieme di entità reali su cui il sistema software ha effetto</li><li>Dialogo con stakeholder: tramire interviste e etnografia</li><li>Studio di sistemi già realizzati sullo stesso dominio applicativo</li><li>Studio di sistemi con cui dovrà interagire quello da sviluppare</li></ul>
Problemi con stakeholder e linguaggio naturale	<ul><li>Gli stakeholder non sanno indicare chiaramente cosa vogliono dal sistema</li><li>Omettono informazioni che possono sembrare ovvie</li><li>Problemi di tempo e distanza</li><li>Conflitti nella dichiarazione dei requisiti</li><li>Mancanza di chiarezza, confusione, mescolanza di requisiti</li></ul>
Attività svolte durante l'analisi dei requisiti	<ul><li>Classificazione e organizzazione dei requisiti</li><li>Assegnazione di priorità ai requisiti</li><li>Negoziazione dei requisiti</li><li>Modellazione analitica dei requisiti</li></ul>
Modi per rappresentare i requisiti di sistema	<ul><li>Linguaggio naturale strutturato (template)</li><li>Modelli grafici (UML)</li><li>Notazione basata su trasformazione funzionale (data-flow)</li><li>Notazione matematica</li></ul>
Proprietà da verificare durante la validazione dei requisiti	<ul><li>Completezza: tutti i requisiti richiesti dal committente devono essere documentati</li><li>Coerenza: la specifica dei requisiti non deve contenere definizioni tra loro contraddittorie</li><li>Precisione: l'interpretazione di una definizione di requisito deve essere unica</li><li>Realismo: i requisiti possono essere implementati date le risorse disponibili<br></li><li>Tracciabilità</li></ul>
Tipi di tracciabilità dei requisiti	<ul><li>Sorgente: un requisito è tracciabile quando si riesce a reperire la fonte di informazione relativa al requisito</li><li>Requisiti: un requisito è tracciabile quando si riesce a individuare i requisiti dipendenti</li><li>Progetto: individuare i componenti del sistema che realizzano il requisito</li><li>Test: individuare i test-case usati per collaudare un requisito</li></ul>
Tipi di tecniche di validazione	<ul><li>Revisione: un gruppo di revisori controlla i requisiti</li><li>Costruzione di prototipi: uno o più prototipi sono generati e mostrati al committente e agli utenti per verificare la comprensione dei requisiti</li></ul>
Attività svolte durante la progettazione	<ul><li>Progettazione architetturale: si definiscono sistemi e moduli (strutturazione), distribuzione dei componenti (deployment), quali componenti invocano le operazioni e quali le eseguono (metodo di controllo) e si definiscono le interazioni tra componenti allo scopo di svolgere una certa funzione (modellazione del comportamento)</li><li>Progettazione delle strutture dati</li><li>Progettazione degli algoritmi</li><li>Progettazione della GUI</li></ul>
Tipi di modello (diagrammi) usati nella progettazione	<ul><li>Progettazione architetturale: component diagram, deployment diagram, class diagram, package diagram e diagrammi di sequenza (UML)</li><li>Progettazione delle strutture dati: E-R, modello relazionale; diagramma delle classi (UML)</li><li>Progettazione degli algoritmi: diagrammi di flusso; diagrammi d'attività (UML)</li><li>Progettazione GUI: sketch</li></ul>
Strati nei quali viene suddiviso un sistema ed il loro scopo	<ul><li>Presentazione: raccolta degli input dell'utente, visualizzazione output</li><li>Elaborazione: elaborazione dei dati in input e produzione dati in output</li><li>Gestione dei dati: aggiunta, modifica, rimozione e ricerca dati</li></ul>
Tipi di componenti	<ul><li>Sottosistema: parte del sistema dedicata a svolgere una certa attività</li><li>Modulo: parte di un sottosistema dedicata a svolgere particolari funzioni legate all'attività del sottosistema</li></ul>
Tipi di soluzione nel 2-tiers deployment	"<ul><li>Thin client: la macchina ""client"" si occupa della presentazione, la macchina ""server"" si occupa di elaborazione e gestione dati</li><li>Fat client: la macchina ""client"" si occupa della presentazione e dell'elaborazione, la macchina ""server"" si occupa della gestione dati</li></ul>"
Differenza tra interfaccia e corpo	<ul><li>Interfaccia: insieme di operazioni che il componente mette a disposizione di altri componenti</li><li>Corpo: parte interna del componente, è nascosta agli altri componenti</li></ul>
